OBJECTID;ID;NOM_PARC;ADRESS_SSC;ADRESS_GEO;ACCES_VL;Arrdt;DELEG;SITE_DELEG;TEL;H_PARC_CM;H2_PARC_CM;TYPE_PARC;HORAIRE_NA;ASC_SURF;ACCES_MOTO;ACCES_VELO;V_ELEC_CH;AUTOPART;DATE_TA;AB_1M_E;AB_1A_E;TARIF_PR;PR_1A_MINE;PR_1A_MAXE;TARIF_RES;TF_RES_1AE;DATE_TH;TF_15MN_E;TF_30MN_E;TF_1H_E;TF_1H30_E;TF_2H_E;TF_3H_E;TF_4H_E;TF_7H_E;TF_8H_E;TF_9H_E;TF_10H_E;TF_11H_E;TF_12H_E;TF_24H_E;NB_PL_PMR;ABPMR_1M_E;ABPMR_1T_E;ABPMR_1A_E;MIS_A_JOUR;ABVE_1M_E;ABVE_1T_E;ABVE_1A_E;NB_PL_MOTO;TMOTO_1EHE;ABMOTO_1ME;ABMOTO_1TE;ABMOTO_1AE;TVELO_1M_E;POINT_X;POINT_Y;ZONES_RES;TF_15MN_MO;TF_30MN_MO;TF_24H_MOT;TF_PR_MOTO;PR_1A_MINM;PR_1A_MAXM;TF_RES_MO;TF_RES_1AM;AB_1A_PATT;PARC_AMOD;geo_shape;geo_point_2d
10;119;CHARLETY THOMIRE;12 RUE THOMIRE;12 RUE THOMIRE;E1;13;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;190;;ABONNES;POUR ABONNES;OUI;OUI;NON;NON;NON;42917;91;946;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;26;ND;ND;ND;2018-02-01;ND;ND;ND;24;ND;37;ND;379;ND;652166.7377;6857866.345;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.348549088885551, 48.81908635497679]}";48.819086355, 2.34854908889
16;13;EYLAU;6 AVENUE D'EYLAU;6 AVENUE D EYLAU;E1;16;INDIGO;WWW.PARKINDIGO.FR;01 47 04 75 81;190;;ABONNES;POUR ABONNES;NON;NON;NON;NON;NON;ND;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2018-02-01;ND;ND;ND;0;ND;ND;ND;ND;ND;647627.2561;6862887.886;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;OUI;"{""type"": ""Point"", ""coordinates"": [2.286109904018239, 48.86389210319559]}";48.8638921032, 2.28610990402
15;111;DIDOT;4 RUE DIDOT;4 RUE DIDOT;E1;14;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;190;;ABONNES;POUR ABONNES;OUI;OUI;NON;NON;OUI;42917;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;4;ND;ND;ND;2018-02-01;ND;ND;ND;15;ND;69;172;660;ND;650192.8852;6859530.459;ND;ND;ND;ND;NON;ND;ND;NON;ND;1649;NON;"{""type"": ""Point"", ""coordinates"": [2.321473340944152, 48.83390245079516]}";48.8339024508, 2.32147334094
4;48;BOURSE;12 PLACE DE LA BOURSE;12 PLACE DE LA BOURSE;E1;2;INDIGO;WWW.PARKINDIGO.FR;01 42 96 47 04;190;;VISITEURS ET ABONNES;24h / 24;NON;OUI;OUI;OUI;OUI;42583;357;3914;NON;ND;ND;OUI;2739,8;42614;1,2;2,4;4,8;7,2;9,6;14,4;19,2;33,6;38,4;39,6;39,6;39,6;39,6;39,6;3;ND;ND;ND;2018-02-01;ND;ND;1957;64;ND;75;213,75;825;10;651653.9829;6863512.304;1E 2E 3E 9E 9F 9G 10F 10G;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.340924308094133, 48.86982217581348]}";48.8698221758, 2.34092430809
9;120;CHARLETY COUBERTIN;31 AVENUE PIERRE DE COUBERTIN;31 AVENUE PIERRE DE COUBERTIN;E1;13;SAEMES;WWW.SAEMES.FR;01 45 65 25 61;185;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;NON;42917;120;1308;NON;ND;ND;OUI;915,6;42186;0,9;1,8;3,6;5,4;7,2;10,8;14,4;25,2;28,8;32,4;32,4;32,4;32,4;32,4;5;ND;ND;ND;2018-02-01;60;167,5;654;16;ND;48;134;523;15;651855.0248;6857660.777;13E 13F 13G 13L 13M 13N 14H;ND;ND;ND;NON;ND;ND;OUI;392;1635;NON;"{""type"": ""Point"", ""coordinates"": [2.3443272489501013, 48.81721443565874]}";48.8172144357, 2.34432724895
24;90;GRENELLE 1 (SURFACE);31 BOULEVARD DE GRENELLE;31 BOULEVARD DE GRENELLE;E1;15;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;OUI;OUI;43101;105,2;1052;OUI;631;841;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1;52,6;150;526;2018-02-01;52,6;150;526;0;ND;ND;ND;ND;ND;647977.4012;6861626.874;7E 7F 7H 15E 15F 15L 15M 15P 16P 16T;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.291036781086904, 48.85258039981752]}";48.8525803998, 2.29103678109
32;112;MAC MAHON;17 AVENUE MAC MAHON;17 AVENUE MAC MAHON;E1;17;INDIGO;WWW.PARKINDIGO.FR;01 45 74 65 66;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;NON;NON;42583;248;2579;OUI;1547,25;2063;NON;ND;42736;1,05;2,1;4,2;6,3;8,4;12,6;16,8;29,4;33,6;36,8;36,8;36,8;36,8;36,8;6;124;353;1290;2018-02-01;124;353;1290;15;1,2;87;248;905;10;648242.945;6864272.527;8F 8G 16E 16F 16G 17E 17F 17H 17J;0,3;0,6;10,4;OUI;541,5;722;NON;ND;3224;NON;"{""type"": ""Point"", ""coordinates"": [2.294333210233796, 48.876393581056924]}";48.8763935811, 2.29433321023
37;21;MAIRIE DU 15 EME LECOURBE;141 RUE LECOURBE;141 RUE LECOURBE;E1;15;SAEMES;WWW.SAEMES.FR;ND;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;43132;225;2250;OUI;1350;1800;NON;ND;43132;0,9;1,9;3,8;5,7;7,6;11,4;15,2;26,6;30,4;34,2;34,2;34,2;34,2;34,2;9;112,5;320,65;1125;2018-02-01;112,5;320,65;1125;13;1,3;78,75;224,4;787,5;10;648631.0722;6860406.53;15J 15K 15L 15P 15R 15V;0,3;0,6;11,9;OUI;472,5;630;NON;ND;2812,5;NON;"{""type"": ""Point"", ""coordinates"": [2.300091938883332, 48.84165837971217]}";48.8416583797, 2.30009193888
42;78;MARCADET;142 RUE MARCADET;142 RUE MARCADET;E1;18;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;NON;OUI;NON;NON;NON;42917;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2018-02-01;ND;ND;ND;10;ND;78;210;784;ND;651526.081;6865905.593;ND;ND;ND;ND;NON;ND;ND;NON;ND;1959;NON;"{""type"": ""Point"", ""coordinates"": [2.338907620507201, 48.89133469362022]}";48.8913346936, 2.33890762051
45;18;MEYERBEER (OPERA);4 RUE DE LA CHAUSSÉE D'ANTIN;4 RUE DE LA CHAUSSEE D ANTIN;E1;9;SAEMES;WWW.SAEMES.FR;01 47 42 95 14;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;OUI;42736;279;2790;OUI;1215;Comptant;OUI;567;42736;0,95;1,85;3,65;5,5;7,3;10,95;14,6;25,55;29,2;32,85;32,85;32,85;32,85;32,85;11;195;556;1950;2018-02-01;139;397;1390;17;1,25;ND;ND;ND;ND;651155.8835;6863691.089;1E 2E 9E 9F 9G;0,35;0,65;11,3;OUI;425,25;ND;NON;Annuel;3490;NON;"{""type"": ""Point"", ""coordinates"": [2.334113749543752, 48.87139237288018]}";48.8713923729, 2.33411374954
46;113;MILTON;33 RUE MILTON;33 RUE MILTON;E1;9;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;190;;ABONNES;POUR ABONNES;NON;NON;NON;NON;NON;41456;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2018-02-01;ND;ND;ND;0;ND;ND;ND;ND;ND;651737.3227;6864540.903;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;OUI;"{""type"": ""Point"", ""coordinates"": [2.341943526250061, 48.87907836779106]}";48.8790783678, 2.34194352625
48;19;MONTPARNASSE;120 ET 141 BOULEVARD MONTPARNASSE;120 BOULEVARD DU MONTPARNASSE;E1;14;INDIGO;WWW.PARKINDIGO.FR;01 45 48 43 30;190;;VISITEURS ET ABONNES;24h / 24;NON;OUI;OUI;NON;NON;42583;209;2174;NON;ND;ND;NON;ND;42614;1,1;2,2;4,4;6,6;8,8;13,2;17,6;30,8;35,2;39,6;39,6;39,6;39,6;39,6;0;ND;ND;ND;2018-02-01;ND;ND;1087;33;ND;79;225;822;ND;650878.1348;6860361.076;ND;ND;ND;ND;NON;ND;ND;NON;ND;2714;NON;"{""type"": ""Point"", ""coordinates"": [2.330712196878272, 48.84142482117866]}";48.8414248212, 2.33071219688
53;142;PASTEUR 2 (SURFACE);69 BOULEVARD PASTEUR;69 BOULEVARD PASTEUR;E1;15;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;NON;OUI;43101;105,2;1052;OUI;631;841;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;2;52,6;150;526;2018-02-01;52,6;150;526;0;ND;ND;ND;ND;ND;649722.0071;6860306.584;6F 7K 7N 14M 14N 15G 15H 15J 15K 15R;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.314967122989753, 48.84084560813874]}";48.8408456081, 2.31496712299
56;37;PONT DE GRENELLE MAISON DE LA RADIO;116 AVENUE DU PRÉSIDENT KENNEDY;116 AVENUE DU PRESIDENT KENNEDY;E1;16;SAGS;WWW.SAGS.FR;01 45 25 18 90;190;;VISITEURS ET ABONNES;24h / 24;NON;OUI;OUI;OUI;OUI;41735;210;2100;OUI;800;1600;NON;ND;41735;0,9;1,8;3,6;5,4;7,2;10,8;14,4;25,2;28,8;32,4;32,4;32,4;32,4;32,4;6;105;315;1050;2018-02-01;105;315;1050;6;1,2;84;228;840;10;647132.5757;6861586.544;15M 16P 16S 16T 16U;0,3;0,6;10,8;OUI;280;560;NON;ND;2625;NON;"{""type"": ""Point"", ""coordinates"": [2.279529159981994, 48.85214895296255]}";48.852148953, 2.27952915998
75;153;UNIVERSITE DIDEROT (RIVE GAUCHE);31 RUE THOMAS MANN;31 RUE THOMAS MANN;E1;13;INDIGO;WWW.PARKINDIGO.FR;01 44 24 05 37;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;NON;NON;42614;183;1830;OUI;878,4;1464;NON;ND;42614;0,8;1,6;3,2;4,8;6,4;9,6;12,8;22,4;25,6;28,8;28,8;28,8;28,8;28,8;20;92;256;915;2018-02-01;92;256;915;16;0,8;64;179;641;10;654399.5012;6858990.094;TOUT PARIS;0,2;0,4;7,2;OUI;307,2;512;NON;ND;2968;NON;"{""type"": ""Point"", ""coordinates"": [2.378835871417501, 48.82935423573408]}";48.8293542357, 2.37883587142
77;59;VICTOR HUGO POMPE;122 AVENUE VICTOR HUGO;122 AVENUE VICTOR HUGO;E1;16;INDIGO;WWW.PARKINDIGO.FR;01 47 27 22 69;190;;VISITEURS ET ABONNES;24h / 24;NON;NON;OUI;NON;NON;42583;315;3276;NON;ND;ND;NON;ND;42736;1,15;2,3;4,6;6,9;9,2;13,8;18,4;32,2;36,8;39,6;39,6;39,6;39,6;39,6;0;157,5;449;1638;2018-02-01;157,5;449;1638;9;1,6;110;314;1147;10;647228.2267;6863326.622;ND;0,4;0,8;13,6;NON;ND;ND;NON;ND;4095;NON;"{""type"": ""Point"", ""coordinates"": [2.280616572772571, 48.86780498094872]}";48.8678049809, 2.28061657277
82;96;WILSON 2 (SURFACE);16 TER AVENUE DU PRÉSIDENT WILSON;16 TER AVENUE DU PRESIDENT WILSON;E1;16;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;OUI;NON;43101;135;1350;OUI;810;1080;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;2;67,5;192,5;675;2018-02-01;67,5;192,5;675;0;ND;ND;ND;ND;ND;648115.279;6862966.066;16F 16G 16H 16I 16J 16K;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.292752216238735, 48.86463464939235]}";48.8646346494, 2.29275221624
83;104;CROIX DES PETITS CHAMPS;14 RUE CROIX DES PETITS CHAMPS;14 RUE CROIX DES PETITS CHAMPS;E1;1;INDIGO;WWW.PARKINDIGO.FR;01 47 03 92 21;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;NON;OUI;42583;377;3921;NON;ND;ND;NON;ND;42552;1,15;2,3;4,6;6,9;9,2;13,8;18,4;32,2;36,8;39,6;39,6;39,6;39,6;39,6;7;188,5;537;1960,5;2018-02-01;188,5;537;1960,5;17;1,6;112,2;320;1167,7;10,2;;;ND;0,4;0,8;13,6;NON;ND;ND;NON;ND;4901;NON;"{""type"": ""Point"", ""coordinates"": [2.339968016158395, 48.86325431210127]}";48.8632543121, 2.33996801616
86;52;PYRAMIDES;14 TER ET 29 TER RUE DES PYRAMIDES;14 TER RUE DES PYRAMIDES;E1;1;SAEMES;WWW.SAEMES.FR;01 47 03 02 88;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;42979;270;2727;OUI;1500;2000;NON;ND;42979;1;2;4;6;8;12;16;28;32;36;36;36;36;36;16;135;371,5;1363,5;2018-02-01;135;371,5;1363,5;46;1,4;94,5;260,05;954,45;10;;;1E 2E;0,35;0,7;12,6;OUI;525;700;NON;ND;3408,7;NON;"{""type"": ""Point"", ""coordinates"": [2.333264515214272, 48.865102106721615]}";48.8651021067, 2.33326451521
99;133;CASERNE MONGE;15 TER RUE GRACIEUSE;15 TER RUE GRACIEUSE;E1;5;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;190;;ABONNES;POUR ABONNES;OUI;OUI;OUI;NON;NON;42917;195;2048;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;5;61;ND;ND;2018-02-01;ND;ND;ND;12;ND;97;270;1021;ND;;;ND;ND;ND;ND;NON;ND;ND;NON;ND;2552;NON;"{""type"": ""Point"", ""coordinates"": [2.351393607699355, 48.84248421288191]}";48.8424842129, 2.3513936077
60;172;PORTE DE CHAMPERRET;6 AVENUE PORTE DE CHAMPERRET, 21 BOULEVARD DE L'YSER;6 AVENUE PORTE DE CHAMPERRET;E2;17;INDIGO;WWW.PARKINDIGO.FR;01 43 80 73 81;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;42583;148;1539;NON;ND;ND;OUI;1082;42767;1;2;4;6;8;12;16;28;32;36;36;36;36;36;29;ND;ND;ND;2018-02-01;74;211;770;37;1,2;72;205;749;16;647766.93;6865394.62;17E 17F 17G 17H 17L 17M 17N;0,3;0,6;10,8;NON;ND;ND;OUI;520;1924;NON;"{""type"": ""Point"", ""coordinates"": [2.287705467789601, 48.88644572907668]}";48.8864457291, 2.28770546779
70;36;TERNES;4, 38 ET 61 AVENUE DES TERNES;38 AVENUE DES TERNES;E1;17;SPIE AUTOCITE;WWW.AUTOCITE.FR;01 45 72 17 61;185;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;NON;42885;235;2350;OUI;1025;1709;NON;ND;43101;1,05;2,1;4,2;6,3;8,4;12,6;16,8;29,4;33,6;37,8;37,8;37,8;37,8;37,8;22;117,5;329;1175;2018-02-01;117,5;329;1175;100;1,45;82,25;230,3;822,5;10;648173.0977;6864565.613;8F 8G 16E 16F 16G 17E 17F 17G 17H 17J 17L 17M 17N;0,4;0,75;13,05;OUI;358,5;598;NON;ND;2937,5;NON;"{""type"": ""Point"", ""coordinates"": [2.293345187761946, 48.8790235907566]}";48.8790235908, 2.29334518776
72;174;TERNES;4, 38 ET 61 AVENUE DES TERNES;4 AVENUE DES TERNES;E3;17;SPIE AUTOCITE;WWW.AUTOCITE.FR;01 45 72 17 61;185;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;NON;42885;235;2350;OUI;1025;1709;NON;ND;43101;1,05;2,1;4,2;6,3;8,4;12,6;16,8;29,4;33,6;37,8;37,8;37,8;37,8;37,8;22;117,5;329;1175;2018-02-01;117,5;329;1175;100;1,45;82,25;230,3;822,5;10;648436.9019;6864467.727;8F 8G 16E 16F 16G 17E 17F 17G 17H 17J 17L 17M 17N;0,4;0,75;13,05;OUI;358,5;598;NON;ND;2937,5;NON;"{""type"": ""Point"", ""coordinates"": [2.296953824994446, 48.87816450717553]}";48.8781645072, 2.29695382499
151;164;MALESHERBES ANJOU;20 TER ET 35 TER BOULEVARD MALESHERBES;35 TER BOULEVARD MALESHERBES;E2;8;SAGS;WWW.SAGS.FR;ND;190;;VISITEURS ET ABONNES;24h / 24;NON;OUI;NON;NON;NON;43132;280;2800;OUI;1568;2240;NON;ND;43132;1;2;4;6;8;12;16;28;32;36;36;36;36;36;0;140;392;1400;2018-02-01;140;392;1400;19;1,4;98;274,4;980;10;;;1E 2E 8H 8J 8K 8L;0,35;0,7;12,6;OUI;548,8;784;NON;ND;3500;NON;"{""type"": ""Point"", ""coordinates"": [2.320841767855364, 48.87309114334673]}";48.8730911433, 2.32084176786
152;159;ROND POINT (GARAGE);2/M ROND-POINT DES CHAMPS ÉLYSÉES-MARCEL DASSAULT;2 M ROND POINT DES CHAMPS ELYSEES MARCEL DASSAULT;E1;8;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;190;;ABONNES;POUR ABONNES;OUI;OUI;OUI;NON;NON;42917;253;2530;OUI;1416;2024;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;126,5;360,5;1265;2018-02-01;126,5;360,5;1265;0;ND;ND;ND;ND;10;;;1E 2E 7G 7L 8E 8F 8G 8H 8J 8K 9G;ND;ND;ND;NON;ND;ND;NON;ND;3162,5;NON;"{""type"": ""Point"", ""coordinates"": [2.310777751948275, 48.86961490093039]}";48.8696149009, 2.31077775195
156;130;FRANZ LISZT;32 TER RUE DES PETITS HÔTELS;32 TER RUE DES PETITS HOTELS;E1;10;INDIGO;WWW.PARKINDIGO.FR;01 40 16 41 01;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;OUI;43053;235;2444;NON;ND;ND;NON;ND;42614;1,1;2,2;4,4;6,6;8,8;13,2;17,6;30,8;35,2;39,6;39,6;39,6;39,6;39,6;6;ND;ND;ND;2018-02-01;ND;ND;1222;26;ND;80;226;827;ND;;;ND;ND;ND;ND;NON;ND;ND;NON;ND;3058;NON;"{""type"": ""Point"", ""coordinates"": [2.352728159838796, 48.87760690959217]}";48.8776069096, 2.35272815984
173;1;AMPERE;93 TER RUE AMPÈRE;93 TER RUE AMPERE;E1;17;INDIGO;WWW.PARKINDIGO.FR;01 43 80 73 81;190;;ABONNES;POUR ABONNES;NON;NON;NON;NON;NON;ND;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2018-02-01;ND;ND;ND;0;ND;ND;ND;ND;ND;;;17G 17H 17J 17K 17L 17M 17N;ND;ND;ND;NON;ND;ND;NON;ND;ND;OUI;"{""type"": ""Point"", ""coordinates"": [2.2986375129179892, 48.88523836496147]}";48.885238365, 2.29863751292
115;57;SAINT SULPICE;8/M PLACE SAINT SULPICE;8 M PLACE SAINT SULPICE;E1;6;INDIGO;WWW.PARKINDIGO.FR;01 43 25 45 57;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;NON;42583;331;3442;NON;ND;ND;NON;ND;42614;1,2;2,4;4,8;7,2;9,6;14,4;19,2;33,6;38,4;39,6;39,6;39,6;39,6;39,6;10;ND;ND;ND;2018-02-01;ND;ND;1721,2;3;ND;132;376,2;1372,8;ND;;;ND;ND;ND;ND;NON;ND;ND;NON;ND;4212;NON;"{""type"": ""Point"", ""coordinates"": [2.333610378107826, 48.851437144716265]}";48.8514371447, 2.33361037811
117;121;SAINTS PERES;47 TER RUE JACOB;47 TER RUE JACOB;E1;6;INDIGO;WWW.PARKINDIGO.FR;01 45 49 18 55;190;;ABONNES;POUR ABONNES;NON;OUI;NON;NON;NON;42583;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2018-02-01;ND;ND;ND;5;ND;108;308;1124;ND;;;ND;ND;ND;ND;NON;ND;ND;NON;ND;3456;OUI;"{""type"": ""Point"", ""coordinates"": [2.332242717559798, 48.85599912646211]}";48.8559991265, 2.33224271756
118;42;BAC MONTALEMBERT;39 RUE DU BAC;39 RUE DU BAC;E1;7;INDIGO;WWW.PARKINDIGO.FR;01 42 22 15 66;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;42583;398;4139;OUI;2483,4;3311,2;NON;ND;42552;1,15;2,3;4,6;6,9;9,2;13,8;18,4;32,2;36,8;39,6;39,6;39,6;39,6;39,6;9;199;567;2069,5;2018-02-01;199;567;2069,5;13;1,6;139;396;1448,5;12,6;;;1E 6E 7G 7J 7L 7M 8E;0,4;0,8;13,6;OUI;869,1;1158,8;NON;ND;5630;NON;"{""type"": ""Point"", ""coordinates"": [2.326962489728768, 48.85658680913102]}";48.8565868091, 2.32696248973
123;184;JOFFRE;2 TER ET 6 TER PLACE JOFFRE, 14 AVENUE FRÉDÉRIC LE PLAY;6 TER PLACE JOFFRE;E2;7;INDIGO;WWW.PARKINDIGO.FR;01 45 48 43 30;190;;VISITEURS ET ABONNES;24h / 24;ACCESSIBLE DE PLAIN PIED;OUI;OUI;NON;OUI;42370;191;1986;NON;ND;ND;NON;ND;42736;1,15;2,3;4,6;6,9;9,2;13,8;18,4;32,2;36,8;39,6;39,6;39,6;39,6;39,6;1;95,5;272;993;2018-02-01;95,5;272;993;19;1,6;76;218;799;10;;;ND;0,4;0,8;13,6;NON;ND;ND;NON;ND;3110;NON;"{""type"": ""Point"", ""coordinates"": [2.303923035302143, 48.854074566653914]}";48.8540745667, 2.3039230353
126;92;ORSAY 1 (SURFACE);87/M QUAI D'ORSAY;87 M QUAI D ORSAY;E1;7;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;NON;NON;43101;135;1350;OUI;810;1080;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1;67,5;192,5;675;2018-02-01;67,5;192,5;675;0;ND;ND;ND;ND;ND;;;7E 7F 7G 7J 7L 7M 8E 16H;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.3028915722889582, 48.86230842226396]}";48.8623084223, 2.30289157229
132;187;SUFFREN;8 TER PLACE JOFFRE, 13 AVENUE ÉMILE ACOLLAS, 77 AVENUE DE SUFFREN;77 AVENUE DE SUFFREN;E3;7;INDIGO;WWW.PARKINDIGO.FR;01 45 48 43 30;190;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;NON;NON;NON;ND;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2018-02-01;ND;ND;ND;0;ND;ND;ND;ND;ND;;;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;OUI;"{""type"": ""Point"", ""coordinates"": [2.300656792871296, 48.85146001526384]}";48.8514600153, 2.30065679287
140;109;ETOILE FRIEDLAND;14 TER ET 39 TER AVENUE FRIEDLAND;14 TER AVENUE FRIEDLAND;E1;8;INDIGO;WWW.PARKINDIGO.FR;01 42 89 69 64;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;NON;42583;292;2936;NON;ND;ND;NON;ND;42614;1,2;2,4;4,8;7,2;9,6;14,4;19,2;33,6;38,4;39,6;39,6;39,6;39,6;39,6;6;ND;ND;ND;2018-02-01;ND;ND;1468;5;ND;ND;ND;ND;ND;;;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.301317869975955, 48.87461524657534]}";48.8746152466, 2.30131786998
144;169;GEORGE V;113 AVENUE DES CHAMPS-ELYSEES, 32 TER AVENUE GEORGE V;32 TER AVENUE GEORGE V;E2;8;INDIGO;WWW.PARKINDIGO.FR;01 47 20 02 68;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;NON;OUI;OUI;42583;265;2756;NON;ND;ND;OUI;1929,2;42614;1,2;2,4;4,8;7,2;9,6;14,4;19,2;33,6;38,4;39,6;39,6;39,6;39,6;39,6;17;ND;ND;ND;2018-02-01;132,5;377,5;1378;25;ND;108;308;1084;ND;;;8E 8F 8G 8H 8J 16E 16F 16G 16H 16I 16J 17E;ND;ND;ND;NON;ND;ND;NON;ND;4156,5;NON;"{""type"": ""Point"", ""coordinates"": [2.301389023351347, 48.86890385749859]}";48.8689038575, 2.30138902335
106;50;SOUFFLOT;18/M ET 19 TER RUE SOUFFLOT;18 M RUE SOUFFLOT;E1;5;INDIGO;WWW.PARKINDIGO.FR;01 43 26 15 54;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;OUI;42583;239;2486;NON;ND;ND;NON;ND;42736;1,05;2,1;4,2;6,3;8,4;12,6;16,8;29,4;33,6;37,8;37,8;37,8;37,8;37,8;2;119,5;341;1243;2018-02-01;119,5;341;1243;32;1,2;83,6;238,7;870,1;10,1;;;ND;0,3;0,6;10,8;NON;ND;ND;NON;ND;3077;NON;"{""type"": ""Point"", ""coordinates"": [2.342468378736751, 48.84714280122965]}";48.8471428012, 2.34246837874
